research_id,recommendation,native_id(s),current_evidence,canonical_owner,active_claim/PR,exact_remaining_outcome,disposition,dependency_impact,recurring_burden,safe_parallel_lane,acceptance,uncertainty,evidence_urls,research_dependencies_not_adopted,research_complexity_not_a_duration,research_data_requirements,research_acceptance_preserved,research_operating_burden_judgment,research_source_url,current_production_verification
R11,As-known historical generations,C1-HIST-01; C1-HIST-02; C1-HIST-03; C1-ACQ-01/02/03; C3-REPLAY-01,Historical substrate and acquisition proofs already exist. 1437 adds append-only analyst persistence. V1 debt V1-49 is not proof that the whole historical system is absent.,"Canonical temporal, acquisition and history owners",1437 MERGED as-known analyst store; 1346 generation extension,"Audit remaining consumers against actual known-at state, retaining explicit reconstructed/unavailable fidelity and revised-versus-original truth.",EXTEND,Do not create a second temporal store or let raw retention become an authorized decision reader by accident.,"Medium: append-only storage, version migrations, replay and restore drills.",Temporal writer serial; consumers and isolated restoration review parallel.,"Replay a real past decision without today’s roster, rules, player universe, prices or forecasts. Preserve reacquisition holding periods and irrecoverable historical gaps explicitly.",Full current historical replay and every consumer were not executed or certified.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_EXECUTION_MAP.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/VERSION_1_COMPLETION_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1437"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R01,R07",L,"Immutable observation revisions, available-at timestamps, event times, historical rosters/rules and explicit coverage/fidelity labels",A historical decision resolves only evidence known then; corrected truth stored separately; fidelity reported,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/docs/C_SERIES_EXECUTION_MAP.md,NOT EXECUTED IN THIS SESSION
R12,Versioned decision generation manifest,C8-PERF-01/02/04/05; C1-HIST-01; W1-24,Prepared generation/certification work already exists in the broad draft. Game Day has a bounded generation owner in 1445; a shared idea does not make these identical rollout scopes.,Prepared-serving and temporal-generation owners,1346 DRAFT; 1445 separate transferred Game Day generation scope,Extend compatible generation manifests with league/rules/roster/picks/input hashes/code/model/seed/cutoff and reuse them across rendering and sharing.,CONSOLIDATE,Honor transferred Game Day primitives; do not make all products depend on activating prepared rankings/trade serving.,"Medium: generation retention, integrity validation, bounded invalidation and operational isolation.","1346 owns prepared rankings/trade; 1445 owns its explicitly transferred subset; UI consumes, never recomputes.",No mixed generations; stale-compatible fallback labeled; incompatible context refused; atomic publication survives interruption; public/private summaries identify their intended current/frozen semantics.,Prepared serving remains unmerged and unverified in production. Successful synthetic generation tests are not useful-state acceptance.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/PERFORMANCE_CAMPAIGN.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R07,R11",M,"Input IDs/hashes, code/model/scoring versions, league/team context, source cutoffs, seeds and artifact manifests","A result is reproducible from input hashes, model/config versions, league state and seed; atomic publication",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346,NOT EXECUTED IN THIS SESSION
R13,Task-specific model evaluation workbench,C5-PROJ-E; C10-ML-01; C1-SRC-02; V1-22,"Calibration and model registry gates already exist, including explicit owner-authorized Hill automation exceptions. Research adds task distinctions, not a replacement promotion policy.",Existing model registry/calibration and task evaluation owners,1434/1444 candidate evidence; no new promotion claim,"Separate forecast error, interval coverage, probability calibration, market alignment, action utility and descriptive-ranking consistency; freeze hypotheses and retain failed candidates.",EXTEND,Prospective archiving can start immediately under existing authority; mature comparisons require as-known history and fair baselines.,"Medium: prospective data, periodic offline evaluation and candidate accounting.","Existing evaluator; offline experiments can be parallel, production model writes serial.","Rolling-origin, horizon/scoring-matched tests; no target-family leakage; report simple baselines and failures; maintain current automatic/manual promotion distinctions and explicit exceptions.",No rolling-origin experiment or statistical superiority was reproduced here.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/MATH_MODEL_CALIBRATION_POLICY_2026-08-15.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/VERSION_1_COMPLETION_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1444"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R08,R10,R11",L,"Prospective forecasts, realized host outcomes, dated folds, calibration bins, baseline outputs, rejected candidates and evaluation metrics","Rolling-origin, family-held-out, scoring-specific metrics with calibration and decision-regret baselines; respect existing promotion authorities",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/docs/BACKLOG_REPLAN_2026-09-10.md,NOT EXECUTED IN THIS SESSION
R14,Prospective private decision and offer journal,Candidate extension of C6-MGR-01 / #985 and C1-HIST-01; no new native ID assigned,Manager Scout and historical transactions are existing scope. A prospective rejected/countered-offer journal was not established in inspected current implementation; accepted trades do not provide it.,Private manager intelligence plus temporal owner,No separate active offer-journal implementation verified,"Approve a minimal private, user-entered offer/rationale/expiry/status journal before proposing calibrated acceptance probabilities.",NEW CANDIDATE,Small capture schema may precede mature trade utility. Do not scrape private messages or infer rejected offers from absent transactions.,"Low: owner entry, privacy retention/deletion and sparse-data upkeep.",Private temporal/manager consumer after owner approval; no second history writer.,"Explicit offer terms, parties, known timestamps, outcome visibility, corrections and private access. Unknown response remains unknown; deletion/export boundaries are tested.",Absence is limited to inspected evidence; full native alias/branch census could locate additional existing work.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md""]",R11,M,"Manually logged sent/received/declined/countered offers, alternatives, deadlines, decision rationale and consent-aware private notes","Log offered terms, alternatives, timestamps, status, counteroffers and stated reason; no public strategy leakage",Low,https://thearmchairoffice.com/,NOT EXECUTED IN THIS SESSION
R15,"Adaptive, staggered acquisition control",#1423; PR1425; T-NEW-21 / inventory §7.13 proposed aliases; C4 source-acquisition owner,Content-aware freshness already exists. Adaptive/staggered refresh intake is not runtime implementation; existing timer repairs and the Game Day collector are related but distinct scopes.,Existing acquisition/orchestration owner,1425 OPEN intake documentation; 1407 existing timer repair,"Apply adaptive acquisition through existing source runners: cadence floors, content change, jitter, backoff, bounded browser concurrency, retry and cost accounting.",EXTEND,Do not add a second registry/scheduler or reinterpret legacy collector cadence as action-aware acquisition. Proposed C4-SRC-04 alias is not an extra current 164-row manifest item.,"Medium: monitoring, change-rate learning, browser/resource limits and source-specific failures.",Acquisition owner; Game Day critical cadence is owned by 1445 and not silently rewritten.,No read-triggered scraping; measured request/content-change counts; shared cooldown/concurrency; stale reasons separate from transport; current paused sources stay paused.,Runtime adaptive control and whole-portfolio live scheduling were not established.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/BRISKET_IDEAS.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_REQUESTED_TODO.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1425"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1407"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R06,R10",L,"Observed content-change intervals, source latency, request budgets, event triggers, retry history and decision deadlines","Bounded concurrency, jitter, backoff, content-change learning and game-day priority; no source-permission reopening",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/config/sources/freshness_v1.json,NOT EXECUTED IN THIS SESSION
R16,Live source and coverage inventory artifact,Existing scripts/source_inventory.py; F-SRC-01; C1-SRC-01,Script was read but not run. Main export manifest lists 10 raw export entries: 6 tagged fresh and 4 preserved/mirrored. These tags are not a live per-source/position health census.,Canonical source inventory and data-contract owners,Existing script; no new implementation claim,"Execute the existing inventory in an isolated checkout with actual export and source-state artifacts; retain observed/voted/excluded counts, native fields and freshness.",KEEP,"Execution can precede full model evaluation. Supplement its own forecast/K coverage through the existing projection capability census, not a second source registry.",Low: periodic artifact production and schema-consistent archival.,Existing inventory owner; read-only operational evidence collection.,"Save command, exit status, code/input hashes, observation time, registry and artifact union, per-position counts and exclusions. Missing counts remain null; no fixture or marketing totals substitute for actual data.",NOT EXECUTED: the connector exposed code but no executable repository checkout; outbound filesystem-host access failed DNS. Current source health remains unknown.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/scripts/source_inventory.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/exports/latest/manifest.json"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R06,R10",S,"All live source registries/raw CSVs, per-position observed/voted/excluded coverage, role declarations and content/fetch clocks","Persist union of registry, raw files and retired keys; count observed/voted/filtered per position with current runtime state",Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/scripts/source_inventory.py,NOT EXECUTED IN THIS SESSION
R17,Expected marginal best-ball roster utility,#1173; C2-LINE-01; C2-SIM-01; C7-DESK-01,Exact assignment and per-draw Game Day optimization already exist. Expected marginal best-ball utility is already requested in #1173; heuristic depth is not proof of this outcome.,Canonical lineup and seasonal scenario owners; roster-utility consumers,1445 extends the existing Game Day substrate; no duplicate utility-engine claim,"Evaluate paired before/after legal roster outcomes under the same draws, including forced drops, redundancy, insurance and usable depth.",EXTEND,"Reuse typed weekly observations and scoring. Do not require a rich covariance model to begin a clearly labeled baseline, or promote that baseline as calibrated.","Medium: scenario compute, replacement pools, prospective evaluation and caching.",Lineup/scenario writer serial; trade/FAAB consumers after stable contracts; Lane 6 continues.,Optimize each draw before averaging; common random scenarios; real roster eligibility/capacity; marginal contribution versus naive depth baseline; honest insufficient coverage and runtime receipt.,"No demonstrated model gain, calibrated insurance value or broad roster-level marginal-utility completion in this session.","[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/lineup.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/game_day_sim.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R04,R08,R09",L,"Per-player weekly joint distributions, actual eligible slots, bench and waiver alternatives, roster capacity and paired random scenarios",Paired before-after simulations under same draws; legal lineup every draw; quantify Monte Carlo error and missing coverage,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/src/ros/lineup.py,NOT EXECUTED IN THIS SESSION
R18,Joint NFL role and scoring scenarios,C5-GD-01; C5-ROS-01; #1173; #789,"Main sim-v3 uses one league draw for matchup and median and exact assignment inside draws. That alone does not establish joint NFL pace, QB/receiver or role dependence.",Existing PointsModel/Game Day scenario owner,1445 OPEN; do not create another simulator,Evaluate residual correlation and mutually exclusive role scenarios against the simple baseline; retain paired scenarios across rosters.,EXTEND,Separate weekly football uncertainty from dynasty-market bands and manager behavior. Early evaluation can run before mature product consumers.,"Medium: scenario calibration, shrinkage, outcome archives and compute.",Existing seasonal model owner; offline covariance study disjoint from stable Lane 6 UI.,"Preserve banked facts; test same-game/shared-role relationships, backups, marginal distributions and missing coverage; assess calibration and useful decision changes prospectively without invented gains.","Rich covariance and probability calibration are still research questions, not established production capabilities.","[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/game_day_sim.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R08,R13,R17",L,"Game/team/role dependencies, usage shares, residual covariance, projected volume, injury/availability scenarios and schedule context",Role/availability scenarios with measured covariance and held-out calibration outperform independent baseline where claimed,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/src/ros/game_day_sim.py,NOT EXECUTED IN THIS SESSION
R19,Probabilistic competitive posture,C7-POST-01; #840; C2-CORE-01,"PUSH/HOLD/RETOOL/REBUILD, probabilities/ambiguity and non-veto behavior are authorized. Current-main demand repairs do not themselves finish posture.",Competitive posture consuming canonical strength/history/pick forecasts,1436 MERGED demand foundation; no new posture writer verified,"Explain current/future competitive windows with ambiguity, meaningful contributors and capital; keep current roster truth separate from speculative futures.",EXTEND,"Future-pick distributions improve mature posture but need not prohibit a limited, honestly uncertain existing view.",Low-to-medium: periodic generation and model evaluation.,Existing posture consumer; no independent strength or pick model.,"Test strong old contenders, young weak rosters and ambiguous cases; no forced trade veto, no missing=zero capital, and no roster-total-age substitution for meaningful contribution.",Calibration of posture probabilities and end-to-end current consumer parity are unverified.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/EXECUTION_PLAN.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md""]","R17,R32",M,"Continuous current/future strength, age of meaningful contributors, playoff/title scenarios, draft capital and uncertainty","Show probabilities, drivers and sensitivity; HOLD/low-confidence where ambiguous; never hard-veto trades",Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/docs/EXECUTION_PLAN.md,NOT EXECUTED IN THIS SESSION
R20,Canonical trade decision packet,C7-DESK-01; C3-PKG-01; C3-CAP-01; C3-TOPO-01; #792; #843,"Analyze Trade, forced drops, multi-team destinations, package rules and quiet overrides are native scope. Research is not authority to replace the canonical decision layer with a new universal score.",Canonical trade evaluator/package/legality owners,1441/1436/1439 MERGED; 1442/1346 adjacent OPEN,"Produce a reusable decision packet with separate market, legal roster impact, uncertainty and evidence lenses, preserving cost basis, counterpart context and multi-team outcomes.",EXTEND,"Use existing pick/lineup/temporal owners. Do not wait for every advanced model to complete useful legal/market behavior, but do not fake title equity.","Medium: cached simulations, market evidence and multi-surface regression maintenance.",Trade owner serial; shared data-contract/server/trade-page integration with 1346/1442; disjoint UI stays active.,"One canonical result feeds analyze/equalizer/counteroffer/share/history; players/owned picks unique, generic quantities legitimate; forced-drop net effect, silent overrides/reset, destinations, public-safe sharing and provenance tested.",Full multi-team/utility/prod closure is not proved by merged component repairs.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/MASTER_PRODUCT_PLAN.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1441"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1439"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1442"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md""]","R03,R04,R12,R17",L,"Trade participants/destinations, players, quantities, owned picks, valuations, legal roster state, forced drops, alternatives and version IDs","One packet supplies market price, roster utility, drops, future capital, uncertainty and counterparty context to all views",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/docs/OWNER_FEATURE_INVENTORY.md,NOT EXECUTED IN THIS SESSION
R21,FAAB acquisition planner with censored demand,C4-FAAB-01; C4-FAAB-02; C7-WAIV-01; #830; #1173,"The native plan already separates own league, Sharp, broad external dynasty and platform attention, and normalizes to original budgets. Winning bids are not all bids.","Existing FAAB market layer, waiver planner and legal roster owner",1436 MERGED; 1407 operational adjacent,"Complete legal claim/drop sequences and distinguish objective ceiling, competitive demand and observed clearing-price evidence; retain all four populations.",EXTEND,Existing allocation policy is preserved pending an explicit decision. Prospective bid/visibility capture need not wait for a sophisticated censored likelihood.,"Medium: waiver sampling, budget/rule state, event dedupe and sparse-market evaluation.",Existing FAAB owner; consume demand/utility primitives rather than own copies.,Original-budget normalization; literal zero bids retained; missing losing bids unknown; attention cannot change objective worth; budget/capacity-valid conditional claim sequence; selected-league mobile task and source coverage.,"Full production market coverage, losing-bid visibility and calibrated clearing prices are unknown.","[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/FAAB_MARKET_SIGNAL_NORMALIZATION_2026-08-14.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1407"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R04,R08,R14,R17",L,"Budget remaining and original, actual waiver pool, private claim priority, observed winning bids, known losing bids when available, roster utility",Separate user utility ceiling from competitor-demand estimate; normalized original budgets; conditional claim/drop ladder including zero bids,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/issues/830,NOT EXECUTED IN THIS SESSION
R22,Draft path and auction opportunity-cost planner,C7-DRAFT-01; C7-DRAFT-02; C7-DRAFT-03,"Draft/auction opportunity-cost planning already exists in the native portfolio, including Sep13 C7-DRAFT-03. It is not merely a generic optimizer idea from the market survey.",Perfect Draft and live-auction canonical state/optimizer owners,Existing approved live-auction scope; 1442 pick lifecycle adjacent,"Finish draft paths and live auction states with actual budgets, holds, roster needs, availability and alternatives; retain the existing marginal-surplus objective.",EXTEND,Do not bring in OR-Tools or a second lineup solver without a constraint gap. Retirement and draft-state legality must stay canonical.,"Medium: event-state maintenance, bounded optimization and on-clock recovery testing.",Existing draft owner; stable PSI draft controls can progress independently of unfinished forecasting.,Bid/lead/outbid/won/hypothetical transitions; actual budget/commitment accounting; conditional alternatives; no raw value-per-dollar dart bias; next-turn availability labeled by cohort/date/coverage; mobile recovery and runtime.,Full live-auction production closure and reliable pick-survival distributions were not verified.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_EXECUTION_MAP.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1442"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R03,R04,R08,R17",L,"Live draft board, pick ownership, format/date-matched ADP samples, pick survival, roster demand, auction budgets and legal bids",Compare feasible multi-pick paths and player survival; budget/roster legal; outperform greedy baseline on held-out draft scenarios,Medium,https://store.steampowered.com/app/2356870/Huddle_Genius/,NOT EXECUTED IN THIS SESSION
R23,Universal Player Profile as evidence workspace,C6-UPP-01; #783; #1337; C8-PSI-02,A real player route and populated-route accessibility work exist. Analyst store is now main; that is not yet a complete populated evidence workspace.,Universal Player Profile and canonical entity/navigation owners,1438 MERGED populated-route work; 1446 related Game Day consumer,"Connect value, horizon-specific forecasts, role, claims and source history with a return path to the originating decision; preserve stale/partial/unsupported states.",EXTEND,A delayed projection must not disable static identity/news/history. Reuse entity links and approved PSI primitives.,Medium: evidence joins and content-quality maintenance; no always-on generation implied.,Lane 6/profile owner plus stable API consumers; no second identity resolver.,"Real player task from trade/waiver/rankings/Game Day; hybrid/name collision identity; usable phone layout, focus/back-navigation, source timestamps and unavailable evidence; no private leakage.",1438’s local build/fixture evidence is not fresh authenticated production certification.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/ui/UI_PARALLEL_LEDGER.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/ui/CALCULATOR_UI_IMPLEMENTATION_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1438"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1446"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R08,R11,R24,R34",M,"Canonical player identity plus dated values, projections, usage, injuries, contracts, claims, clips and missingness/provenance","Value, season, role, evidence and history tabs use canonical ID and visible freshness; first screen serves an actual decision",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/docs/ui/CALCULATOR_UI_IMPLEMENTATION_CONTRACT.md,NOT EXECUTED IN THIS SESSION
R24,Analyst evidence ledger and claim extraction,C6-ANA-01; C6-FRESH-01; C6-POD-01; C6-YT-01,SQLite append-only persistence and as-of querying moved from the research’s open overlay into main. The PR explicitly does not deliver all ingestion or frontend consumers.,Existing analyst ledger and media extraction owners,1437 MERGED; acquisition/HTTP/UI are separate remaining work,"Attach real producers and canonical consumers with said-at/known-at precision, supersession, author/content dedupe and extraction validation.",EXTEND,Do not build a second analyst store. Media expansion can be staged while preserving approved scope; cost-gated X remains separate.,"Medium: extraction QA, dedupe, source drift, storage and approved compute spend.",Analyst temporal writer serial; disjoint producer adapters and Lane 6 readers consume contracts.,Live or authentic captured claims round-trip through as-of queries; date-only precision is not invented exact time; empty versus unavailable coverage distinct; one opinion syndicated across media cannot become multiple votes.,Current production producer coverage and extraction accuracy were not demonstrated here.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_EXECUTION_MAP.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1437"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R10,R11",L,"Analyst identity, primary content URL, timestamps, claim target/horizon, stance/conditions, evidence span, supersession and syndicated-content hashes","Persist known time, said time/precision, author, horizon, stance, evidence and supersession; evaluate extraction before scaling",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1437,NOT EXECUTED IN THIS SESSION
