pr,state,title,head_sha,branch,canonical_owner_or_claim,remaining_or_disposition,merged_into_audited_main,deployed_evidence,author_tests_rerun_here,url
1357,OPEN,Anthropic SDK dependency update,,,Dependency/integration owner,Do not reintroduce a paid narrative dependency merely to merge a dependency PR,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1357
1356,OPEN,HTTPX dependency update,,,Dependency/integration owner,Compatibility/security/release gates,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1356
1354,OPEN,jest-dom dependency update,,,Dependency/integration owner,Node/test-toolchain compatibility must be checked,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1354
1350,OPEN,Thin-sample VORP baseline,,,Canonical replacement/awards owner,Undefined replacement is not zero; preserve explicit small-playoff-population exception,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1350
1435,MERGED,Completed-week and true-zero scoring boundary,,,Existing owner; claim labels may lag merge,Preserve repair; extended Game Day live state remains 1445.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1435
1436,MERGED,Structural league demand/context,,,Existing owner; claim labels may lag merge,Keep intentional consumer-specific allocations explicit; no forced scalar convergence.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436
1437,MERGED,Analyst SQLite persistence/as-of,,,Existing owner; claim labels may lag merge,Full live acquisition/extraction/UI remains separate.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1437
1438,MERGED,Populated PSI route accessibility,,,Existing owner; claim labels may lag merge,Not total PSI or authenticated production acceptance.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1438
1439,MERGED,Descriptive NFL exposure trade context,,,Existing owner; claim labels may lag merge,No automatic concentration penalty.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1439
1440,MERGED,Owner source and disjoint-work instructions,,,Existing owner; claim labels may lag merge,"Documentation authority, not runtime behavior.",True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1440
1441,MERGED,Generic quantity/serialization,,,Existing owner; claim labels may lag merge,"Preserve unique assets, legitimate generic quantity; not full trade completion.",True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1441
1443,MERGED,FantasyPros IDP ambiguous identity,,,Existing owner; claim labels may lag merge,Do not propose a second name-only repair.,True,NOT_INDEPENDENTLY_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1443
