claim,section,verdict,evidence
'Anonymous access to a private page is a Next 307 to /login?next=…',Frontend Runtime,TRUE,curl -o /dev/null -w '%{http_code} %{redirect_url}' http://127.0.0.1:3000/rankings -> 307 http://127.0.0.1:3000/login?next=%2Frankings.
'FRONTEND_RUNTIME and FRONTEND_URL no longer exist in server.py',Frontend Runtime / Env Vars,TRUE,Only hits in server.py are the epitaph comments at :127-131 and :699; no assignment or read.
'Percentile normalization against a FIXED 500-rank reference (_PERCENTILE_REFERENCE_N)',Live Value Pipeline step 2,TRUE,"src/api/data_contract.py:5303 `_PERCENTILE_REFERENCE_N: int = 500`, consumed at :5339."
'Value-direct voting for _VALUE_BASED_SOURCES (today exactly ktcSfTep + idpTradeCalc)',Live Value Pipeline step 4,TRUE,"src/api/data_contract.py:5480-5486 frozenset({'ktcSfTep','idpTradeCalc'})."
"'TE basis conversion ... KTC's own measured uplift, 1.209 at the top of the board rising toward 2.05'",Live Value Pipeline step 5a,TRUE,"src/league_intel/te_premium.py:92 _FALLBACK_FLOOR=1.2092, :100 _FALLBACK_CEILING=2.0531; config/weights/te_premium_curve.json floor 1.209206. Rollback flag te_basis_conversion=True at src/api/feature_flags.py:141. ADR-015 exists at docs/league-intelligence/DECISIONS.md:532 with the cited title."
'Hierarchical anchor + alpha-shrinkage (alpha=0.10) ONLY for IDP and picks',Live Value Pipeline step 6,TRUE,src/api/data_contract.py:5395 `_ALPHA_SHRINKAGE: float = 0.10`; :7942 stamps alphaShrinkage only when use_hierarchical_blend.
'RETIRED: the lambda*MAD volatility penalty is switched off (_MAD_PENALTY_LAMBDA = 0.0 since 2026-04-20)',Live Value Pipeline step 8,TRUE,src/api/data_contract.py:5429 `_MAD_PENALTY_LAMBDA: float = 0.0`.
'Single-source haircut: non-pick rows resting on one post-Hampel source keep 30% of their blended value',Live Value Pipeline step 9,TRUE,"src/api/data_contract.py:5443 `_SINGLE_SOURCE_VALUE_RETENTION: float = 0.30`, applied at :7983."
"'_MARKET_CORRIDOR_MAX_BAND_BY_ASSET_CLASS = {""idp"": 0.15}. Offense rows are not clamped at all.'",Live Value Pipeline step 10,TRUE,src/api/data_contract.py:4690-4692 is exactly {'idp': 0.15}; the lookup at :4902 returns None for every other asset class.
'_apply_idp_calibration_post_pass ... no longer exists ... Neither the function nor the config file is in the tree',Live Value Pipeline step 10,TRUE,grep -rn _apply_idp_calibration_post_pass src/ -> no hits. ls config/idp_calibration.json -> No such file. The 'Phase 4c: removed' note is at src/api/data_contract.py:8281.
"'the clamp's own comments still justify it as containing ""the IDP calibration runaway"" ... that stated rationale is stale'",Live Value Pipeline step 10,TRUE,src/api/data_contract.py:4688-4689 still reads 'the clamp only contains the IDP calibration runaway'. CLAUDE.md correctly flags its own code's stale comment.
"'Two-way player boost ... _TWO_WAY_PLAYERS — today exactly {""Travis Hunter"": ""DB""}. Runs after the corridor clamp and before the Phase 5 pick passes.'",Live Value Pipeline step 11,TRUE,src/api/data_contract.py:5048-5051 is exactly that dict. Call order: clamp :8313 -> two-way boost :8322 -> 'Phase 5: Pick refinement passes' :8343.
"'Pick discount — Phase 3a, BEFORE the global sort'",Live Value Pipeline step 12,TRUE,"'Phase 3a: Pick year discount' comment at :7991, call at :7995; 'Phase 4: Unified sort and overall rank assignment' at :7999."
"'Pick tethering — Phase 5.2b, AFTER the sort'",Live Value Pipeline step 13,TRUE,"The literal string 'Phase 5.2b' does not appear in the code, but step '2b) Anchor current-year slot picks to merged offense+IDP rookies' sits at :8353 under the 'Phase 5' header at :8343, i.e. after the :7999 sort. Substantively accurate shorthand."
'Blend weights live in the _RANKING_SOURCES registry (all 1.0 by policy)',Live Value Pipeline,TRUE,"GET /api/rankings/sources -> 21 sources, every weight exactly 1.0, zero exceptions."
'config/weights/default_weights.json is historical documentation only — nothing loads it',Live Value Pipeline,TRUE for production code,"No production module opens it. src/trade/team_impact.py::_load_default_weights is a name collision — it reads config/trade/team_impact.json. Two TESTS do read it (tests/adapters/test_source_config_completeness.py:13, tests/pool/test_scraper_composite_math.py:218), so 'nothing loads it' is true of the runtime and false of the suite."
"'Master curve constants ... the refit no longer ships them ... Production constants move only via scripts/model_registry.py promote + apply, run by a human'",Live Value Pipeline,UNVERIFIABLE (files present; promotion path not exercised),"scripts/auto_refit_hill_curves.py, scripts/model_registry.py, src/model_registry/holdout.py, .github/workflows/refit-hill-curves.yml and config/model_registry/ all exist. Auditing the workflow's commit behaviour is out of this workstream's scope and cannot be run read-only."
"'Both enforce a top-150 quality filter ... suggestions.py BOARD_TOP_N_FILTER (150), finder.py MARKET_TOP_N_FILTER (150)'",Trade Engines,TRUE,"src/trade/finder.py:132 MARKET_TOP_N_FILTER = 150 (:135 KTC_TOP_N_FILTER aliases it); src/trade/suggestions.py:239 BOARD_TOP_N_FILTER = 150 (:242 alias). Live: metadata.marketTopNFilter present, metadata.ktcTopNFilter = 150."
'Both engines now read the same internal value ... metadata.valueSource stamps which scale produced a run',Trade Engines,TRUE,"POST /api/trade/finder (dynasty_main, myTeam Jason, all opponents) -> metadata.valueSource = 'rankDerivedValue'. src/trade/finder.py:1152."
'finder.py was offense-only ... Fixed by the per-market gate; it now emits marketCoverage per market',Trade Engines,TRUE at HEAD,"Live finder run: metadata.marketCoverage = {'ktcSfTep':132,'ktc':18,'idpTradeCalc':150}; the 40 returned trades contain DL x23, DB x26, LB x11. Note this fix landed in commit a62af217 at 2026-08-04 13:16 UTC — 6h44m AFTER the SHA the decision-intelligence audit read (9c5d972f, 06:32 UTC), which is why that audit still calls the finder offense-only."
'Assets the board declines to price ... counted in metadata.assetsUnpricedByBoard — 202 on a real payload',Trade Engines,PARTIALLY TRUE (stale number),"Field exists and is populated; measured 186 on the 2026-08-04 contract, not 202. The warning string is emitted verbatim. The mechanism is right; the illustrative count has drifted 8%."
'suggestions.py's gate never consulted KTC ... Renamed to BOARD_TOP_N_FILTER / _assign_board_ranks; boardTopNFilter is the honest metadata field. The ktc* names survive as deprecated aliases only.',Trade Engines,TRUE,src/trade/suggestions.py:239/242 and :656/:674 (`_assign_ktc_ranks = _assign_board_ranks`); :1688 emits boardTopNFilter and :1690 the ktcTopNFilter alias.
"'of KTC's 500 rows, 475 also appear on the IDPTC board at a median value ratio of 1.000 (p10 0.888, p90 1.054, measured 2026-07-26). Both top out at 9999.'",Trade Engines — cross-market note,PARTIALLY TRUE (reproduces within drift),"Re-measured on the live 2026-08-04 contract's canonicalSiteValues, KTC top-500 framing: overlap 453 (doc 475); ktc/idptc median 0.9877 (doc 1.000), p10 0.8601 (doc 0.888), p90 1.0644 (doc 1.054). Both boards do cap at 9999. Direction and magnitude hold; the overlap count is 22 low."
'The offline canonical-build path (scripts/canonical_build.py + src/canonical/transform.py + src/canonical/pipeline.py) and its CANONICAL_DATA_MODE branches have been retired',Canonical Data Mode,TRUE,All three paths absent from disk; grep CANONICAL_DATA_MODE over *.py returns no hits outside the audit's own evidence scripts.
"'BDVM ... feature-flagged, ON since 2026-07-28'",BDVM header,TRUE,"src/api/feature_flags.py:225 `""bdvm_engine"": True`, classified LIVE at :373. GET /api/bdvm/values returns a payload rather than a feature_disabled 503."
"'the engine answers status: ""ok"" with 726 players priced and 222 honestly unpriced'",BDVM,UNVERIFIABLE (Blocked by data),data/bdvm/ does not exist in this container. GET /api/bdvm/values -> status 'no_projection_snapshot'. Pre-declared non-finding in AUDIT_PROTOCOL.md; the specific 726/222 counts cannot be checked here.
'Missing data is never imputed into a normal-looking value ... with no projection snapshot the endpoint says so',BDVM,TRUE,All three endpoints return status:'no_projection_snapshot' with an explicit message naming data/bdvm/projections/manual/ and the sentence 'The fundamental engine does not fabricate projections.' No fabricated values were served.
'Every payload is versioned: modelVersion + content-hashed paramSetId + league configHash + asOf',BDVM,TRUE,"GET /api/bdvm/values meta: modelVersion '1.0.0', paramSetId 'params_v1:01af672b2aff', configHash 'e91bb1028ab1', asOf ISO-8601 — present even on the degraded payload."
'The platform currently has no forward-looking statistical projection feed ... and stays dormant until snapshots exist under data/bdvm/projections/',BDVM (L550-553),FALSE as a current statement / self-contradictory,"This paragraph is the pre-flip text, left 60 lines below the section header that now says the flag is ON since 2026-07-28 and that scripts/bdvm_build_baseline.py writes a real 2,815-record snapshot. The same section asserts both 'dormant' and 'default ON, 726 players priced'."
"'There is no frontend ranking engine, period — not even a fallback. buildRows is a pure materializer.'",Single Source of Truth,TRUE for VALUES,No value recompute in frontend/lib/dynasty-data.js; the removed computeUnifiedRanks fallback is gone and the fail-fast path at :1355-1363 returns [] on a payload with zero backend stamps. Sort key is the backend's rankDerivedValue.
'buildRows assigns computedConsensusRank = i + 1 after sorting (dynasty-data.js:1366) and uses it for r.rank (:1378)',Single Source of Truth,"TRUE in substance, FALSE line numbers",The code is at frontend/lib/dynasty-data.js:1391 and :1403 — 25 lines below the cited positions.
'In practice that is players past the backend's OVERALL_RANK_LIMIT (800) — rows the backend deliberately left unranked',Single Source of Truth,FALSE,"Measured on the live contract: 1,092 playersArray rows, 740 carry canonicalConsensusRank, MAX STAMPED RANK = 740. The 800 limit is never reached, so no row is 'past' it. The 239 unranked non-pick rows all carry rankDerivedValue = null (239/239) — they are UNPRICED, a different cause with different meaning. Confirms PRIOR-A01-F01."
'it is suppressed for picks and whenever a valuation overlay is active. A backend-stamped rank always wins.',Single Source of Truth,TRUE,frontend/lib/dynasty-data.js:1394-1403: canonicalConsensusRank wins; else r.rank = null for assetClass 'pick' or overlayActive; else the computed ordinal.
'Parity test: tests/api/test_source_registry_parity.py parses the frontend JS and diffs against the Python registry',Single Source of Truth,TRUE,"File present; GET /api/rankings/sources serves the Python registry (21 sources); evidence/test-results-summary.txt records 6,278 pytest passes / 0 failures."
"'overlay.adjusted_rows returns EVERY row, not the ranked ones ... Serving that subset measured 740 of 1093 rows on the live contract'",Two overlays,TRUE (row total off by one),"GET /api/valuation/league-adjusted?leagueKey=dynasty_main -> playerCount 1092, rankedCount 740, adjustedCount 709, isNoop false, monotonicityViolations []. The doc says 1093; today's contract is 1092."
"'Every response stamps valuationMode — including ""market""'",The lens reaches the engines,TRUE,POST /api/trade/finder with valuation_mode 'market' -> valuationMode: 'market'. GET /api/terminal?valuationMode=leagueAdjusted -> valuationMode: 'leagueAdjusted'.
"'The adjusted board is a toggle, not the default, and that is a measured decision — see docs/adjusted-board-backtest.md'",The lens reaches the engines,TRUE (artifact present),docs/adjusted-board-backtest.md and scripts/backtest_adjusted_board.py both exist. The 572-player result was not re-run in this workstream.
'view=full ... returns the full canonical contract (~4 MB uncompressed)',Payload Size Optimization,FALSE,"Measured 2026-08-04 on the live stack: GET /api/data -> 11,953,535 bytes = 11.95 MB, 2.99x the documented figure. POST /api/rankings/overrides?view=full -> 11,789,991 bytes."
"'Production payload drops from ~4 MB to ~1.25 MB uncompressed, and to ~100 KB over the wire with GZipMiddleware'",Payload Size Optimization,FALSE,"Measured: delta 3,918,195 b (3.92 MB, 3.13x the claim) and 372,690 b gzipped (373 KB, 3.73x the claim). GZipMiddleware is real (server.py:2670)."
'a compact delta payload (~70% smaller than the full contract)',Single Source of Truth step 3,TRUE,"3,918,195 / 11,789,991 = 33.2%, i.e. 66.8% smaller. The RATIO claim survives; only the absolute figures are wrong."
"'Regression test: tests/api/test_source_overrides.py::TestBuildRankingsDeltaPayload pins the delta shape, byte-size bounds'",Payload Size Optimization,PARTIALLY TRUE / misleading assurance,test_delta_byte_size_is_bounded asserts delta_bytes < 55_000 and ratio < 0.60 on a synthetic fixture — three orders of magnitude below the 3.92 MB production payload. Its own comment repeats the wrong figures ('delta is ~1.25MB vs ~4MB full'). No test would have caught the 3x drift.
"'src/sharp/cohort.py::cohort_members is THE definition of ""who is a sharp"". Every sharp-powered surface resolves its manager pool through it'",The sharp cohort,TRUE,"market.py:269/:362/:438, roster_percentage.py:513/:887, roster_collect.py:674 and scripts/crawl_sharp_activity.py all route through it. No second membership list found."
'server.py calls _sharp_service.register_http_routes() explicitly after importing the module',The sharp cohort,TRUE,"server.py:12743. Live: GET /api/sharp/market -> 200, GET /api/sharp/roster-percentage -> 200 (no 404)."
'Sharp Buy/Sell Tracker (/market/sharp-tracker)' and '(/market/sharp-roster-percentage)',The sharp cohort,TRUE,frontend/app/market/sharp-tracker and frontend/app/market/sharp-roster-percentage both exist.
"Adapter table: scraper_bridge_adapter.py / sleeper_trending.py / ktc_crowd_faab.py live, base.py the frozen contract",Adapter Pattern,TRUE,"ls src/adapters/ -> exactly base.py, ktc_crowd_faab.py, scraper_bridge_adapter.py, sleeper_trending.py (+ README.md, __init__.py). No phantom DLF/KTC/manual-CSV adapters."
'Position Normalization — Single source of truth: POSITION_ALIASES in src/utils/name_clean.py. All modules import from there.',Position Normalization,PARTIALLY TRUE,"src/league_intel/replacement.py:91 defines its own _BASE_POSITION_ALIASES (a 11-key subset, behaviourally identical on IDP but pass-through on K/P/PICK) and src/bdvm/idpshow_projections.py:139 defines _POSITION_ALIASES with EDGE/DT keys name_clean does not carry. Two modules do NOT import from there."
"'the ADR numbers are per-file, not global ... Always cite ADRs with their file'",Live Value Pipeline,"TRUE as a statement, VIOLATED by the code it governs","ADR-001..015 exist in BOTH docs/league-intelligence/DECISIONS.md and docs/consensus-edge/DECISIONS.md with unrelated subjects (e.g. ADR-008 = 'replacement levels' vs 'the mispricing component'; a third ADR-008 in docs/roster-trade-intelligence/DECISIONS.md is the only ADR in that file). 36 of the 44 ADR citations in src/ + server.py use an ambiguous 001-015 id with no file, across 24 modules."
'BACKEND_API_URL | Backend origin for the Next bridge routes | http://127.0.0.1:8000',Environment Variables,TRUE,.env.example present; the audit stack runs on that origin and the bridge routes resolve.
Every file path cited anywhere in CLAUDE.md exists,whole document,TRUE,"52 cited paths (docs, scripts, configs, tests, components) checked with a presence loop: 52/52 OK, 0 missing. CLAUDE.md's weakness is counts, line numbers and status verbs — not references."
