id,kind,subject,side_a,side_b,adjudication,evidence,severity
C-18,prior audit vs runtime,Is the trade finder still offense-only?,docs/audits/decision-intelligence-audit-2026-08-04.md problem #4: 'The trade finder is still offense-only (the regression CLAUDE.md says was fixed) and its own IDP-blindness warning cannot fire.',"At HEAD: POST /api/trade/finder returns marketCoverage {'ktcSfTep':132,'ktc':18,'idpTradeCalc':150} and 40 trades containing DL x23, DB x26, LB x11","The audit was RIGHT at its commit (9c5d972f, 2026-08-04 06:32 UTC) and is now REFUTED at HEAD. Commit a62af217 'Fix the arbitrage finder dropping every IDP asset' landed 2026-08-04 13:16 UTC — 6h44m later. This is the single clearest demonstration that the 531-finding registry is commit-scoped and must not be inherited wholesale.",git merge-base --is-ancestor a62af217 9c5d972f -> false; git log -1 --date=iso a62af217 -> 2026-08-04 13:16:03 +0000,P1
C-19,prior audit internal,The 08-04 audit contradicts itself on its own headline count,line 30 'Largest root-cause category | **documentation mismatch (56)**',"line 86 '25 findings with root cause documentation mismatch, the single largest category'; line 712 '**single largest root-cause category (32 findings)**'",Three different numbers for the same statistic in one document (56 / 25 / 32). The registry itself is the arbiter and was not re-counted here.,grep -n 'documentation mismatch' docs/audits/decision-intelligence-audit-2026-08-04.md,P3
C-20,prior audit vs runtime (measurement),Repository-state table in the 08-04 audit,"'server.py = 12,683 lines, 82 routes'; 'Next.js 15 — 39 pages, 30 bridge routes'; 'Testing | 378 pytest + 97 frontend files. **pytest not installed here** — suite not executable'","openapi.json -> 99 route operations; 41 pages; 36 bridge routes; next 16.2.12; evidence/test-results-summary.txt -> 6,278 pytest passed / 40 skipped / 0 failed","Every row drifted. The pytest row is the material one: the audit graded 807 systems without being able to run the suite, and said so — a reader who skips that line inherits unexercised conclusions.",python3 over docs/master-site-audit/evidence/openapi.json; find frontend/app -name 'page.*' -not -path '*/api/*' | wc -l,P2
C-21,prior audit vs prior audit,Overall health verdict,"docs/audits/complete-codebase-audit-2026-07-29.md §1 'Overall health: good, and better than the surrounding documentation suggested.'",docs/audits/decision-intelligence-audit-2026-08-04.md §1 'No — not at the decision layer ... Safe as a primary decision tool | **1**',"NOT a contradiction — different objects. See W25-F010 and evidence/W25/reconciliation.json. The 08-04 audit's own text concedes the 07-29 object ('a genuinely well-built spine'). Nothing in the tree marks the relationship, which is the actual defect.","sed -n '13,35p' docs/audits/complete-codebase-audit-2026-07-29.md; sed -n '38,50p' docs/audits/decision-intelligence-audit-2026-08-04.md",P2
C-22,audit brief internal,AUDIT_PROTOCOL.md tells you to re-measure with a method it declares void,AUDIT_PROTOCOL.md:36-49 'A hand-rolled proxy was tried and **abandoned** ... evidence/page-probe-via-proxy-INVALID.json ... Any page-level observation not taken through request interception is void',AUDIT_PROTOCOL.md:98-99 non-findings table: '404s on /api/* when a page is loaded from :3000 | Wrong topology — see the warning above. **Re-measure on :3001.**' and 'Only a finding if it reproduces on :3001.',The :3001 rows are leftovers from the abandoned method. A workstream following the table would produce void evidence. Should read 'via request interception'.,"sed -n '36,49p;96,100p' docs/master-site-audit/AUDIT_PROTOCOL.md",P2
C-23,audit brief vs runtime,AUDIT_PROTOCOL.md's consensus-edge non-finding names a route that does not exist,AUDIT_PROTOCOL.md:91 '/api/consensus-edge/* returns 503',"GET /api/consensus-edge/board -> 404 (no such route). The real routes are /players, /top, /player/{key}, /methodology, /health. /methodology returns **200** with the flag off.",The 503 rule holds for 4 of 5 routes; /methodology is deliberately reachable while disabled (it explains the refusal). A workstream probing '/board' gets a 404 and could misreport it as a missing feature.,for p in board players top health methodology; do curl -s -o /dev/null -w '%{http_code} ' -b cookies http://127.0.0.1:8000/api/consensus-edge/$p; done -> 404 503 503 503 200,P3
C-24,audit brief vs runtime,AUDIT_PROTOCOL.md pins a HEAD the audit itself has moved past,AUDIT_PROTOCOL.md:50 'HEAD e96c06ef',git rev-parse --short HEAD -> fe53d75c (three audit commits later),Harmless for code claims (the audit commits touch only docs/master-site-audit/) but it means 'at HEAD' in one shard and another can differ. Cite SHAs explicitly.,"git log --oneline e96c06ef..HEAD -> 4 commits, all under docs/master-site-audit/",P3
C-25,doc vs filename,math audit filename disagrees with its own title,docs/audits/math-formula-audit-2026-07-30.md (filename),line 1: '# Sitewide math and formula audit — 2026-08-04',"Filename says 07-30, content says 08-04. Chronological sorting of docs/audits/ puts it in the wrong place, which matters for a repo whose top failure mode is docs-drift.",head -1 docs/audits/math-formula-audit-2026-07-30.md,P3
C-26,doc vs code,UNIMPLEMENTED_BACKLOG.md declares itself superseded but stays in the root,UNIMPLEMENTED_BACKLOG.md:24-40 'Read this first: much of this file is already superseded ... The remaining entries were not re-verified one by one — treat them with the same suspicion.',"The file is 41,601 bytes in the repo root, adjacent to CLAUDE.md and README.md, with no ARCHIVED marker in its filename or location",A document whose own header says do-not-trust-me should not sit in the root alongside the authority. Archive it or delete it; keeping it costs a reader the time to discover it is worthless.,head -40 UNIMPLEMENTED_BACKLOG.md,P3
C-27,doc vs code,docs/status/ describes a 2026-03 system that no longer exists,22 files live in docs/status/. Exactly ONE carries a STALE banner (promotion-readiness.md) and one carries 'superseded' (workstream-inventory.md). Twenty carry no staleness marker at all.,"20 of the 22 have a latest internal date of 2026-04-28 or earlier — three to four months before HEAD — and describe a pipeline that predates the Final Framework transition (docs/architecture/final-framework-transition.md, itself banner-marked 'superseded', 2026-04-20).",The two markers imply the other twenty are current. They are not. See evidence/W25/supersession-list.csv for a per-file disposition.,for f in docs/status/*.md; do grep -ohE 'STALE|superseded' $f; grep -ohE '20[0-9]{2}-[0-9]{2}-[0-9]{2}' $f | sort | tail -1; done (git mtimes are useless — history was squashed 2026-08-03),P2
C-28,audit brief vs repo,W25's own brief mis-states the docs/status/ inventory,Prompt: '~139 docs exist; 22 in docs/status/ date to 2026-03-14 and three carry STALE banners; UNIMPLEMENTED_BACKLOG.md declares ITSELF superseded',Measured: 144 tracked .md outside node_modules/frontend/master-site-audit; docs/status/ holds 22 files of which only THREE date to 2026-03-14 and only ONE carries a STALE banner. The UNIMPLEMENTED_BACKLOG.md half is exactly right.,"Directionally correct, numerically off. Recorded here because the brief asked for 'any requirement in the audit brief that conflicts with a repo decision' and because a finding built on the brief's numbers rather than re-measured ones would inherit the error.",git ls-files '*.md' | grep -v node_modules | grep -v ^frontend/ | grep -v ^docs/master-site-audit/ | wc -l -> 144; per-file scan of docs/status/,P3
